created_at,date,description
2019-12-06 10:45:22,2019-01-01,New Year’s Day
2019-12-06 10:45:22,2019-01-21,"Birthday of Martin Luther King, Jr."
2019-12-06 10:45:22,2019-02-18,Washington’s Birthday
2019-12-06 10:45:22,2019-05-27,Memorial Day
2019-12-06 10:45:22,2019-07-04,Independence Day
2019-12-06 10:45:22,2019-09-02,Labor Day
2019-12-06 10:45:22,2019-10-14,Columbus Day
2019-12-06 10:45:22,2019-11-11,Veterans Day
2019-12-06 10:45:22,2019-11-28,Thanksgiving Day
2019-12-06 10:45:22,2019-12-25,Christmas Day
